function     | Identifier
main         | Identifier
(            | Seperator
)            | Seperator
{            | Seperator
int          | Keyword
x            | Identifier
;            | Seperator
x            | Identifier
=            | Operator
5            | Integer
;            | Seperator
if           | Keyword
(            | Seperator
x            | Identifier
>            | Operator
0            | Integer
)            | Seperator
{            | Seperator
x            | Identifier
=            | Operator
x            | Identifier
-            | Operator
1            | Integer
;            | Seperator
}            | Seperator
}            | Seperator
