  Token         |      Lexeme
''''''''''''''''''''''''''''''
Identifier      |   function
Identifier      |       main
Separator       |          (
Separator       |          )
Separator       |          {
Keyword         |        int
Identifier      |          a
Separator       |          ;
Keyword         |        int
Identifier      |          b
Separator       |          ;
Identifier      |       real
Identifier      |          c
Separator       |          ;
Identifier      |          a
Operator        |          =
Integer         |         10
Separator       |          ;
Identifier      |          b
Operator        |          =
Integer         |         20
Separator       |          ;
Identifier      |          c
Operator        |          =
Identifier      |          a
Operator        |          /
Identifier      |          b
Separator       |          ;
Keyword         |         if
Separator       |          (
Identifier      |          c
Operator        |          <
Integer         |          1
Separator       |          .
Integer         |          0
Separator       |          )
Separator       |          {
Identifier      |          c
Operator        |          =
Identifier      |          c
Operator        |          +
Integer         |          1
Separator       |          .
Integer         |          5
Separator       |          ;
Separator       |          }
Keyword         |       else
Separator       |          {
Identifier      |          c
Operator        |          =
Identifier      |          c
Operator        |          -
Integer         |          0
Separator       |          .
Integer         |          5
Separator       |          ;
Separator       |          }
Identifier      |     return
Separator       |          ;
Separator       |          }
